action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,337506,[],CHEMBL763786,In vitro irreversible inhibitory activity of adenosine diphosphate (0.5 uM)-induced platelet aggregation in guinea pig platelet rich plasma,F,,,BAO_0000201,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1124348,J Med Chem,1989,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://qudt.org/vocab/unit#Percent,131321,=,1,1,=,,Inhibition,%,,100.0,CHEMBL369,Cavia porcellus,Cavia porcellus,10141,,,Inhibition,%,UO_0000187,,100.0
,,337507,[],CHEMBL763789,Inhibitory activity of thrombin (0.625 IU/mL)-induced platelet aggregation in guinea pig platelet rich plasma after 2 min,F,,,BAO_0000201,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1124348,J Med Chem,1989,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://qudt.org/vocab/unit#Percent,131321,=,1,1,=,,Inhibition,%,,0.0,CHEMBL369,Cavia porcellus,Cavia porcellus,10141,,,Inhibition,%,UO_0000187,,0.0
,,337508,[],CHEMBL763785,In vitro inhibitory activity of thrombin (0.625 IU/mL)-induced platelet aggregation in guinea pig platelet rich plasma after 4 min,F,,,BAO_0000201,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1124348,J Med Chem,1989,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://qudt.org/vocab/unit#Percent,131321,=,1,1,=,,Inhibition,%,,0.0,CHEMBL369,Cavia porcellus,Cavia porcellus,10141,,,Inhibition,%,UO_0000187,,0.0
,,337509,[],CHEMBL763784,In vitro inhibitory activity of collagen (0.8 ug/mL)-induced platelet aggregation in guinea pig platelet rich plasma at a dose of 0.8 ug/mL,F,,,BAO_0000201,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1124348,J Med Chem,1989,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://qudt.org/vocab/unit#Percent,131321,=,1,1,=,,Inhibition,%,,75.0,CHEMBL369,Cavia porcellus,Cavia porcellus,10141,,,Inhibition,%,UO_0000187,,75.0
,,346256,[],CHEMBL699899,In vitro inhibition of human platelet aggregation induced by 10 uM ADP after incubation at 100 uM,F,,,BAO_0000201,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1133676,J Med Chem,2000,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://qudt.org/vocab/unit#Percent,231328,=,1,1,=,,Inhibition,%,,31.2,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,Inhibition,%,UO_0000187,,31.2
,,346257,[],CHEMBL699900,In vitro inhibition of human platelet aggregation induced by 10 uM ADP after incubation at 150 uM,F,,,BAO_0000201,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1133676,J Med Chem,2000,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://qudt.org/vocab/unit#Percent,231328,=,1,1,=,,Inhibition,%,,37.1,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,Inhibition,%,UO_0000187,,37.1
,,346258,[],CHEMBL699901,In vitro inhibition of human platelet aggregation induced by 10 uM ADP after incubation at 200 uM,F,,,BAO_0000201,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1133676,J Med Chem,2000,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://qudt.org/vocab/unit#Percent,231328,=,1,1,=,,Inhibition,%,,48.5,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,Inhibition,%,UO_0000187,,48.5
,,346259,[],CHEMBL699902,In vitro inhibition of human platelet aggregation induced by 10 uM ADP after incubation at 250 uM,F,,,BAO_0000201,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1133676,J Med Chem,2000,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://qudt.org/vocab/unit#Percent,231328,=,1,1,=,,Inhibition,%,,56.4,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,Inhibition,%,UO_0000187,,56.4
,,346260,[],CHEMBL842349,Effect on acute pulmonary thromboembolism in mice at 25 mg/kg expressed as no. of killed or paralyzed to no. of tested observed after 10 min,F,,,BAO_0000179,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1133676,J Med Chem,2000,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,231328,=,1,0,=,,No. of killed or paralyzed,,,28.0,CHEMBL375,Mus musculus,Mus musculus,10090,,,No. of killed or paralyzed,,,,28.0
,,346261,[],CHEMBL842582,Effect on acute pulmonary thromboembolism in mice at 25 mg/kg,F,,,BAO_0000179,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1133676,J Med Chem,2000,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://qudt.org/vocab/unit#Percent,231328,=,1,0,=,,Protected,%,,45.0,CHEMBL375,Mus musculus,Mus musculus,10090,,,Protected,%,UO_0000187,,45.0
